shipment_id,carrier,route_miles,weather_delay,hub,delayed
1,D,52,0,D,1
2,D,18,1,C,0
3,B,9,0,C,0
4,C,10,0,A,0
5,C,28,1,C,0
6,A,18,1,C,0
7,C,5,0,C,0
8,C,55,0,A,1
9,D,58,0,C,1
10,B,48,0,B,1
11,D,11,1,D,0
12,D,45,0,D,1
13,C,13,1,C,0
14,A,47,1,A,1
15,D,3,1,C,0
16,B,50,0,C,1
17,D,30,1,A,0
18,B,29,1,C,0
19,B,52,1,A,1
20,D,38,1,D,1
21,D,51,0,A,1
22,D,9,0,D,0
23,B,42,0,D,1
24,C,43,0,A,1
25,A,6,0,B,0
26,A,4,0,C,0
27,D,34,0,A,1
28,C,20,1,D,0
29,C,6,1,D,0
30,A,26,0,B,0
31,D,9,1,A,0
32,B,57,0,D,1
33,D,15,1,A,0
34,A,35,1,D,1
35,D,28,1,B,0
36,B,55,1,C,1
37,D,5,1,C,0
38,B,35,0,A,1
39,B,26,0,A,0
40,B,4,1,B,0
41,B,58,0,D,1
42,A,2,1,C,0
43,B,50,1,B,1
44,C,1,1,C,0
45,D,21,1,B,0
46,C,15,0,D,0
47,D,42,1,C,1
48,A,2,0,B,0
49,D,58,0,D,1
50,C,35,0,B,1
51,B,29,1,A,0
52,D,40,1,D,1
53,C,58,0,D,1
54,C,6,1,D,0
55,A,47,1,A,1
56,C,33,0,D,0
57,D,45,0,A,1
58,A,43,1,C,1
59,B,35,0,D,1
60,B,50,0,A,1
61,B,11,0,D,0
62,D,52,1,A,1
63,C,34,0,A,0
64,D,46,0,D,1
65,A,40,1,A,1
66,D,39,0,A,1
67,B,48,0,B,1
68,D,29,1,A,0
69,D,46,0,B,1
70,C,1,0,A,0
71,B,42,1,C,1
72,B,46,1,B,1
73,A,12,1,B,0
74,C,37,1,B,1
75,C,4,0,B,0
76,D,13,1,A,0
77,A,43,0,A,1
78,D,22,1,B,0
79,A,28,1,A,0
80,B,23,0,B,0
81,D,32,0,A,0
82,A,10,0,C,0
83,D,22,0,B,0
84,A,30,1,B,0
85,D,35,1,D,1
86,D,35,1,A,1
87,D,42,0,D,1
88,D,41,1,A,1
89,C,11,1,D,0
90,B,25,0,B,0
91,D,19,0,C,0
92,A,13,1,C,0
93,A,25,0,C,0
94,C,8,1,B,0
95,A,12,1,B,0
96,A,24,0,B,0
97,C,21,0,C,0
98,A,1,0,B,0
99,A,31,1,A,0
100,A,50,0,D,1
101,B,39,0,C,1
102,A,14,0,B,0
103,A,34,0,B,0
104,D,4,0,A,0
105,D,32,0,C,0
106,B,16,0,A,0
107,C,41,1,D,1
108,B,29,1,A,0
109,D,45,0,A,1
110,D,13,1,D,0
111,A,47,0,C,1
112,C,17,1,B,0
113,A,24,1,B,0
114,A,35,1,C,1
115,A,1,0,D,0
116,D,47,0,A,1
117,C,32,0,D,0
118,C,12,0,A,0
119,D,45,0,A,1
120,A,59,0,C,1
121,A,29,1,C,0
122,A,11,1,C,0
123,A,44,1,A,1
124,A,9,0,C,0
125,D,58,0,D,1
126,C,8,0,A,0
127,A,35,0,D,1
128,C,57,0,A,1
129,C,28,0,A,0
130,D,31,1,C,0
131,B,9,0,A,0
132,B,27,1,A,0
133,A,3,1,B,0
134,C,37,0,A,1
135,B,21,1,D,0
136,D,31,0,C,0
137,C,41,0,A,1
138,B,51,0,B,1
139,A,8,0,C,0
140,C,53,0,C,1
141,B,59,1,C,1
142,D,32,0,D,0
143,D,48,1,C,1
144,B,16,1,B,0
145,D,6,0,D,0
146,A,30,1,D,0
147,A,20,0,B,0
148,B,23,0,A,0
149,B,39,1,D,1
150,B,18,1,A,0
151,D,30,1,B,0
152,D,9,1,C,0
153,B,42,0,A,1
154,D,46,1,C,1
155,A,13,0,B,0
156,D,15,0,A,0
157,C,22,1,A,0
158,D,28,0,B,0
159,C,7,1,B,0
160,C,26,0,C,0
161,A,16,0,C,0
162,C,46,0,C,1
163,C,35,1,D,1
164,B,43,1,A,1
165,C,52,1,C,1
166,A,21,1,D,0
167,B,1,1,C,0
168,D,45,1,D,1
169,A,13,0,B,0
170,C,30,0,A,0
171,B,1,0,A,0
172,D,18,1,C,0
173,C,18,1,A,0
174,D,9,0,B,0
175,A,51,0,C,1
176,A,32,1,D,0
177,B,16,1,C,0
