Project_ID,Team_Size,Budget_kUSD,Duration_Months,Complexity,Success
1,11,456,19,3,1
2,8,280,3,4,1
3,17,286,18,2,1
4,19,192,14,1,1
5,15,220,21,5,0
6,12,78,16,4,0
7,17,85,8,1,1
8,9,62,8,5,0
9,11,209,15,1,1
10,14,376,21,3,0
11,7,236,10,1,1
12,11,292,4,1,0
13,15,135,23,1,0
14,15,333,3,4,0
15,12,115,17,1,0
16,9,219,3,5,0
17,8,94,7,3,1
18,12,111,18,3,0
19,12,490,21,1,1
20,7,183,6,4,1
21,10,333,5,4,0
22,9,77,19,5,0
23,6,157,19,1,0
24,12,93,14,3,0
25,16,389,16,4,1
26,18,335,23,1,0
27,10,495,8,4,1
28,6,380,5,4,1
29,16,177,11,3,0
30,9,397,7,2,1
31,5,280,19,5,1
32,16,239,16,5,0
33,14,274,23,3,0
34,10,434,5,4,0
35,17,426,3,1,1
36,16,332,22,4,1
37,13,495,23,3,0
38,5,170,3,5,0
39,15,165,5,4,0
40,15,282,20,5,1
41,19,308,12,1,1
42,14,408,5,5,1
43,16,247,10,5,0
44,16,460,16,2,0
45,19,186,20,2,0
46,18,367,17,2,1
47,18,214,4,5,1
48,19,274,12,3,0
49,18,356,4,5,1
50,7,283,19,3,1
51,16,221,10,3,0
52,11,201,3,2,1
53,8,364,11,4,1
54,13,423,13,1,1
55,7,209,18,2,1
56,9,145,9,2,1
57,7,282,12,4,0
58,11,229,5,1,1
59,9,162,20,5,0
60,13,367,15,5,1
61,11,491,9,2,1
62,6,101,6,1,1
63,8,317,15,2,1
64,13,344,22,3,0
65,16,435,3,2,1
66,18,436,10,2,1
67,6,162,16,5,0
68,14,150,18,5,0
69,13,162,16,5,0
70,14,489,14,3,1
71,9,130,21,5,0
72,6,236,17,1,0
73,8,162,4,4,1
74,16,51,4,1,1
75,19,179,21,1,0
76,16,269,19,5,0
77,11,103,22,4,1
78,16,392,12,4,0
79,17,273,8,4,0
80,12,274,17,3,0
81,19,434,13,5,1
82,7,452,7,4,1
83,18,175,3,3,0
84,5,179,10,2,1
85,8,102,23,2,0
86,6,221,14,3,1
87,12,267,14,3,0
88,8,209,7,5,1
89,6,247,9,5,1
90,18,465,6,2,0
91,10,296,8,4,1
92,10,373,15,2,1
93,14,488,22,4,0
94,8,252,17,4,1
95,10,233,5,5,1
96,17,172,10,1,1
97,19,450,22,1,1
98,6,304,18,3,1
99,14,343,15,5,0
100,16,329,20,4,0
101,6,374,12,1,1
102,14,421,21,4,1
103,18,147,19,1,0
104,8,247,21,1,1
105,18,444,7,1,1
106,19,289,23,5,0
107,19,193,11,2,0
108,12,146,14,4,1
109,18,250,23,5,0
110,11,173,3,5,1
111,16,236,3,5,1
112,13,375,17,5,0
113,18,398,4,5,1
114,12,308,18,3,0
115,9,197,10,4,1
116,17,301,15,5,1
117,6,492,23,4,1
118,19,469,3,3,1
119,9,452,18,3,1
120,12,395,9,4,1
121,14,196,7,1,0
122,13,197,5,2,0
123,16,401,14,1,1
124,16,248,18,1,1
125,16,357,21,1,0
126,17,466,7,5,1
127,13,473,16,3,1
128,17,177,7,1,1
129,19,88,17,3,0
130,17,387,19,4,0
131,5,409,16,2,1
132,13,178,22,4,0
133,11,316,7,4,1
134,13,490,14,5,0
135,12,483,18,2,1
136,5,200,18,4,0
137,16,464,23,4,1
138,12,347,9,2,0
139,12,148,6,2,1
140,19,312,3,4,1
141,15,301,7,2,0
142,7,193,12,4,1
143,5,395,7,4,0
144,12,161,6,5,0
145,7,109,4,1,1
146,7,418,22,4,0
147,5,51,12,3,1
148,15,434,21,1,1
149,9,353,3,1,1
150,14,303,7,1,1
151,11,189,15,5,1
152,14,86,6,4,0
153,13,209,18,5,0
154,16,58,18,4,0
155,11,282,4,5,1
156,13,148,19,5,0
157,12,196,22,3,0
158,16,353,14,5,1
159,6,257,20,2,1
160,5,180,5,3,1
161,11,453,3,5,1
162,11,201,3,1,1
163,18,103,21,2,0
164,12,169,13,2,0
165,9,210,7,2,1
166,7,457,14,3,1
167,16,165,5,5,0
168,12,124,3,5,1
169,10,162,3,1,1
170,15,469,10,1,0
171,7,471,12,2,1
172,5,153,13,1,0
173,7,389,14,3,0
174,9,303,15,5,1
175,19,276,14,2,0
176,18,161,16,1,0
177,7,148,4,3,1
178,5,202,21,3,1
179,9,398,20,1,0
180,14,451,5,5,0
181,11,433,19,1,1
182,19,415,10,2,0
183,18,387,12,1,0
184,11,243,4,3,1
185,15,359,21,1,1
186,13,212,11,5,1
187,19,257,9,4,0
188,19,494,6,1,0
189,14,218,23,5,0
190,14,210,20,5,1
191,16,117,15,3,0
192,17,338,13,5,0
193,7,447,6,5,1
194,19,326,23,5,1
195,11,353,6,5,0
196,5,453,12,2,1
197,8,433,7,2,1
198,17,441,11,3,0
199,8,184,5,1,1
200,18,244,19,5,1
